img_path,class_name,y,split,env,filename
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_0.png,bulldog,0,train,env_0_beach,beach_bulldog_0.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1.png,bulldog,0,train,env_0_beach,beach_bulldog_1.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_10.png,bulldog,0,train,env_0_beach,beach_bulldog_10.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_100.png,bulldog,0,train,env_0_beach,beach_bulldog_100.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1000.png,bulldog,0,train,env_0_beach,beach_bulldog_1000.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1001.png,bulldog,0,train,env_0_beach,beach_bulldog_1001.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1002.png,bulldog,0,train,env_0_beach,beach_bulldog_1002.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1003.png,bulldog,0,train,env_0_beach,beach_bulldog_1003.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1004.png,bulldog,0,train,env_0_beach,beach_bulldog_1004.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1005.png,bulldog,0,train,env_0_beach,beach_bulldog_1005.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1006.png,bulldog,0,train,env_0_beach,beach_bulldog_1006.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1007.png,bulldog,0,train,env_0_beach,beach_bulldog_1007.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1008.png,bulldog,0,train,env_0_beach,beach_bulldog_1008.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1009.png,bulldog,0,train,env_0_beach,beach_bulldog_1009.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_101.png,bulldog,0,train,env_0_beach,beach_bulldog_101.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1010.png,bulldog,0,train,env_0_beach,beach_bulldog_1010.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1011.png,bulldog,0,train,env_0_beach,beach_bulldog_1011.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1012.png,bulldog,0,train,env_0_beach,beach_bulldog_1012.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1013.png,bulldog,0,train,env_0_beach,beach_bulldog_1013.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1014.png,bulldog,0,train,env_0_beach,beach_bulldog_1014.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1015.png,bulldog,0,train,env_0_beach,beach_bulldog_1015.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1016.png,bulldog,0,train,env_0_beach,beach_bulldog_1016.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1017.png,bulldog,0,train,env_0_beach,beach_bulldog_1017.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1018.png,bulldog,0,train,env_0_beach,beach_bulldog_1018.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1019.png,bulldog,0,train,env_0_beach,beach_bulldog_1019.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_102.png,bulldog,0,train,env_0_beach,beach_bulldog_102.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1020.png,bulldog,0,train,env_0_beach,beach_bulldog_1020.png
spawrious224__o2o_easy/spawrious224/0/beach/bulldog/beach_bulldog_1021.png,bulldog,0,train,env_0_beach,beach_bulldog_1021.png
