group,class,context,train_count,val_count,test_count,total_count
cat||animal,cat,animal,0,0,20,20
cat||backpack,cat,backpack,0,0,22,22
cat||bag,cat,bag,0,0,130,130
cat||ball,cat,ball,0,0,19,19
cat||bear,cat,bear,8,3,3,14
cat||bed,cat,bed,0,0,190,190
cat||bench,cat,bench,0,0,69,69
cat||bicycle,cat,bicycle,0,0,17,17
cat||bike,cat,bike,0,0,19,19
cat||bird,cat,bird,0,0,28,28
cat||blanket,cat,blanket,0,0,166,166
cat||blinds,cat,blinds,32,10,3,45
cat||book,cat,book,0,0,104,104
cat||bookcase,cat,bookcase,11,1,3,15
cat||books,cat,books,0,0,71,71
cat||bookshelf,cat,bookshelf,27,4,3,34
cat||bottle,cat,bottle,0,0,88,88
cat||bowl,cat,bowl,0,0,74,74
cat||box,cat,box,0,0,113,113
cat||boy,cat,boy,0,0,18,18
cat||cabinet,cat,cabinet,0,0,58,58
cat||camera,cat,camera,0,0,31,31
cat||candle,cat,candle,18,5,1,24
cat||car,cat,car,0,0,89,89
cat||carpet,cat,carpet,0,0,125,125
cat||cell phone,cat,cell phone,0,0,17,17
cat||chair,cat,chair,0,0,222,222
cat||clock,cat,clock,0,0,22,22
cat||coffee table,cat,coffee table,0,0,17,17
cat||collar,cat,collar,0,0,174,174
cat||comforter,cat,comforter,0,0,31,31
cat||computer,cat,computer,47,13,3,63
cat||computer mouse,cat,computer mouse,36,10,7,53
cat||container,cat,container,0,0,49,49
cat||couch,cat,couch,0,0,122,122
cat||counter,cat,counter,32,4,8,44
cat||cup,cat,cup,0,0,54,54
cat||curtain,cat,curtain,0,0,89,89
cat||desk,cat,desk,0,0,101,101
cat||dog,cat,dog,47,10,8,65
cat||door,cat,door,0,0,176,176
cat||drawer,cat,drawer,0,0,41,41
cat||dvd player,cat,dvd player,11,1,3,15
cat||entertainment center,cat,entertainment center,7,2,0,9
cat||faucet,cat,faucet,46,8,0,54
cat||fence,cat,fence,0,0,58,58
cat||floor,cat,floor,0,0,402,402
cat||food,cat,food,0,0,29,29
cat||girl,cat,girl,0,0,26,26
cat||glasses,cat,glasses,0,0,38,38
cat||grass,cat,grass,0,0,99,99
cat||ground,cat,ground,0,0,264,264
cat||hat,cat,hat,0,0,36,36
cat||horse,cat,horse,0,0,8,8
cat||house,cat,house,0,0,32,32
cat||keyboard,cat,keyboard,93,26,14,133
cat||lady,cat,lady,0,0,14,14
cat||lamp,cat,lamp,0,0,68,68
cat||laptop,cat,laptop,0,0,129,129
cat||luggage,cat,luggage,15,3,3,21
cat||man,cat,man,0,0,112,112
cat||mat,cat,mat,0,0,26,26
cat||mirror,cat,mirror,0,0,79,79
cat||monitor,cat,monitor,30,7,6,43
cat||motorcycle,cat,motorcycle,0,0,10,10
cat||napkin,cat,napkin,10,1,3,14
cat||paper,cat,paper,58,20,6,84
cat||papers,cat,papers,23,4,0,27
cat||person,cat,person,0,0,71,71
cat||phone,cat,phone,0,0,19,19
cat||picture,cat,picture,0,0,103,103
cat||pillow,cat,pillow,0,0,163,163
cat||pillows,cat,pillows,0,0,16,16
cat||plate,cat,plate,0,0,52,52
cat||pot,cat,pot,0,0,46,46
cat||purse,cat,purse,0,0,19,19
cat||refrigerator,cat,refrigerator,0,0,20,20
cat||remote control,cat,remote control,0,0,61,61
cat||roof,cat,roof,21,4,4,29
cat||rug,cat,rug,0,0,87,87
cat||screen,cat,screen,86,24,7,117
cat||seat,cat,seat,0,0,69,69
cat||sheet,cat,sheet,0,0,39,39
cat||shelf,cat,shelf,0,0,132,132
cat||shower curtain,cat,shower curtain,10,0,0,10
cat||sink,cat,sink,47,9,4,60
cat||sofa,cat,sofa,0,0,38,38
cat||speaker,cat,speaker,27,7,4,38
cat||suitcase,cat,suitcase,0,0,45,45
cat||table,cat,table,0,0,293,293
cat||teddy bear,cat,teddy bear,0,0,12,12
cat||television,cat,television,0,0,81,81
cat||tissue,cat,tissue,7,3,1,11
cat||toilet,cat,toilet,24,14,8,46
cat||toilet paper,cat,toilet paper,9,4,1,14
cat||towel,cat,towel,0,0,45,45
cat||toy,cat,toy,0,0,37,37
cat||umbrella,cat,umbrella,0,0,22,22
cat||vase,cat,vase,0,0,36,36
cat||wall,cat,wall,0,0,672,672
cat||water,cat,water,0,0,54,54
cat||window,cat,window,0,0,312,312
cat||woman,cat,woman,0,0,73,73
dog||animal,dog,animal,0,0,36,36
dog||backpack,dog,backpack,0,0,61,61
dog||bag,dog,bag,0,0,155,155
