group_id,count,accuracy
0,20,0.75
1,22,0.6818
2,130,0.8538
3,19,0.7895
7,190,0.8526
8,69,0.4638
9,17,0.2353
10,19,0.2632
11,28,0.5357
12,166,0.8313
15,104,0.9231
17,71,0.9014
19,88,0.8636
20,74,0.7838
21,113,0.885
22,18,0.3333
25,58,0.8966
27,31,0.7097
31,89,0.5618
32,125,0.784
35,17,0.7059
36,222,0.7973
38,22,0.6818
40,17,0.9412
41,174,0.7184
42,31,0.9032
44,7,1.0
46,49,0.8571
47,122,0.7541
48,8,0.875
50,54,0.8333
51,89,0.9101
53,101,0.9604
55,8,0.125
56,176,0.7159
57,41,1.0
63,58,0.3966
66,402,0.8209
67,29,0.5862
69,26,0.5385
70,38,0.6053
72,99,0.3232
73,264,0.6174
75,36,0.6944
77,8,0.25
78,32,0.5938
80,14,0.9286
81,14,0.3571
82,68,0.7794
83,129,0.9535
86,112,0.5089
87,26,0.6538
88,79,0.7722
89,6,1.0
90,10,0.3
94,6,0.6667
97,71,0.6761
98,19,0.9474
99,103,0.8058
100,163,0.7362
101,16,0.75
102,52,0.6731
104,46,0.6739
105,19,0.6316
106,20,0.9
107,61,0.8525
110,87,0.8391
113,7,1.0
114,69,0.7246
116,39,0.7949
117,132,0.9015
124,38,0.7632
129,45,0.8889
131,293,0.8328
133,12,0.5833
134,81,0.8765
138,8,1.0
140,45,0.8222
141,37,0.8378
146,22,0.5455
147,36,0.8611
149,672,0.8006
150,54,0.5741
151,312,0.8109
152,73,0.4795
153,36,0.9167
154,61,1.0
155,155,0.9613
156,42,0.9286
158,11,0.9091
160,137,0.8248
161,135,1.0
162,49,1.0
163,55,0.9818
164,23,1.0
165,109,0.8532
167,11,1.0
168,47,0.7447
170,35,0.7429
172,56,0.9464
173,44,0.7045
174,77,0.8831
175,10,1.0
178,41,0.8049
180,21,1.0
183,11,1.0
184,206,1.0
185,79,0.7975
188,23,0.7826
189,179,0.8492
190,5,1.0
191,18,0.6111
193,10,0.7
194,566,0.9417
195,21,0.8571
199,29,0.8966
200,96,0.7917
203,35,0.9429
204,49,0.8776
206,35,0.6571
207,11,1.0
209,182,0.8681
210,24,0.8333
216,223,0.9955
219,284,0.8134
220,35,0.9714
221,16,1.0
222,82,0.9634
223,86,1.0
225,48,1.0
226,550,0.9691
228,20,1.0
229,7,1.0
231,83,0.9277
232,16,1.0
233,23,0.6957
234,56,0.9821
235,57,0.8246
236,37,0.6216
239,59,0.9831
240,15,0.8667
241,99,0.9293
242,8,0.75
249,12,1.0
250,29,1.0
251,35,0.8857
252,88,0.8409
253,140,0.7786
254,19,0.6316
255,47,0.8936
256,16,1.0
257,24,0.9583
258,36,0.9444
259,17,0.7647
260,35,0.7714
262,6,1.0
263,46,0.8696
264,8,1.0
265,6,1.0
266,25,0.8
267,85,0.9294
269,30,0.7333
270,67,0.8209
271,51,0.9804
274,8,1.0
276,5,0.8
277,25,0.8
282,17,0.9412
284,189,0.8148
285,6,1.0
286,13,1.0
287,46,0.6739
291,10,0.6
293,33,0.8788
294,29,0.8621
297,19,1.0
298,6,1.0
299,50,0.98
300,16,0.75
302,446,0.8767
303,31,0.9677
304,326,0.9233
305,35,0.9714
