epoch,train_loss,train_acc,val_avg_acc,val_worst_acc,val_gap
1,0.2345,0.9074,0.9344,0.3,0.6344
2,0.124767,0.9523,0.9371,0.3,0.6371
3,0.111583,0.9579,0.9407,0.3,0.6407
4,0.10031,0.9626,0.9425,0.3,0.6425
5,0.09349,0.9626,0.9479,0.2,0.7479
6,0.085594,0.9673,0.9479,0.2,0.7479
7,0.077312,0.9703,0.9506,0.2,0.7506
8,0.064191,0.9756,0.9506,0.2,0.7506
9,0.065022,0.9746,0.956,0.2,0.756
10,0.056392,0.9797,0.9551,0.1429,0.8122
11,0.05245,0.9786,0.9515,0.1,0.8515
12,0.051187,0.9799,0.9497,0.1429,0.8068
13,0.048589,0.9784,0.9533,0.1,0.8533
14,0.04807,0.9827,0.9515,0.1,0.8515
15,0.044339,0.9827,0.9524,0.0,0.9524
16,0.046036,0.9808,0.9533,0.0,0.9533
17,0.039881,0.9859,0.9524,0.0,0.9524
18,0.03884,0.9859,0.9542,0.1,0.8542
19,0.03832,0.9842,0.9551,0.1,0.8551
20,0.039458,0.9833,0.9533,0.1,0.8533
21,0.03845,0.9852,0.9551,0.0,0.9551
22,0.037534,0.9844,0.9542,0.0,0.9542
23,0.033861,0.9852,0.9578,0.0,0.9578
24,0.038586,0.984,0.9569,0.0,0.9569
25,0.034634,0.9848,0.956,0.0,0.956
26,0.036327,0.9855,0.956,0.0,0.956
27,0.035291,0.9855,0.9533,0.0,0.9533
28,0.036973,0.9825,0.9551,0.1,0.8551
29,0.036074,0.9837,0.956,0.1,0.856
30,0.030941,0.9861,0.956,0.0,0.956
31,0.031501,0.9874,0.9542,0.1,0.8542
32,0.033271,0.9857,0.9551,0.1,0.8551
33,0.029847,0.9874,0.9542,0.0,0.9542
34,0.032245,0.9859,0.9524,0.0,0.9524
35,0.033637,0.9872,0.9533,0.0,0.9533
36,0.031079,0.9848,0.9551,0.0,0.9551
37,0.027848,0.9887,0.9533,0.0,0.9533
38,0.029633,0.9874,0.9551,0.0,0.9551
39,0.030931,0.9867,0.9515,0.0,0.9515
40,0.030312,0.9876,0.9542,0.0,0.9542
41,0.029597,0.9867,0.9533,0.0,0.9533
42,0.030908,0.9876,0.9542,0.0,0.9542
43,0.031474,0.9855,0.9524,0.0,0.9524
44,0.028,0.9861,0.9524,0.0,0.9524
45,0.026895,0.9876,0.9551,0.0,0.9551
46,0.031304,0.987,0.9533,0.0,0.9533
47,0.029422,0.9867,0.9569,0.1,0.8569
48,0.030105,0.985,0.9542,0.0,0.9542
49,0.029467,0.9867,0.9551,0.0,0.9551
50,0.027171,0.988,0.956,0.0,0.956
