class,context,category,train_prop,test_prop,delta
cat,animal,rare,0.0,0.003,0.003
cat,backpack,rare,0.0,0.0033,0.0033
cat,bag,worst_candidate,0.0,0.0194,0.0194
cat,ball,rare,0.0,0.0028,0.0028
cat,bandana,rare,0.0,0.0,0.0
cat,basket,rare,0.0,0.0,0.0
cat,bear,rare,0.0102,0.0004,-0.0098
cat,bed,minority,0.0,0.0283,0.0283
cat,bench,worst_candidate,0.0,0.0103,0.0103
cat,bicycle,rare,0.0,0.0025,0.0025
cat,bike,rare,0.0,0.0028,0.0028
cat,bird,rare,0.0,0.0042,0.0042
cat,blanket,minority,0.0,0.0247,0.0247
cat,blinds,rare,0.0409,0.0004,-0.0405
cat,boat,rare,0.0,0.0,0.0
cat,book,worst_candidate,0.0,0.0155,0.0155
cat,bookcase,rare,0.0141,0.0004,-0.0136
cat,books,worst_candidate,0.0,0.0106,0.0106
cat,bookshelf,rare,0.0345,0.0004,-0.0341
cat,bottle,worst_candidate,0.0,0.0131,0.0131
cat,bowl,worst_candidate,0.0,0.011,0.011
cat,box,worst_candidate,0.0,0.0168,0.0168
cat,boy,rare,0.0,0.0027,0.0027
cat,bun,rare,0.0,0.0,0.0
cat,bus,rare,0.0,0.0,0.0
cat,cabinet,rare,0.0,0.0086,0.0086
cat,cake,rare,0.0,0.0,0.0
cat,camera,rare,0.0,0.0046,0.0046
cat,can,rare,0.0,0.0,0.0
cat,candle,rare,0.023,0.0001,-0.0229
cat,cap,rare,0.0,0.0,0.0
cat,car,worst_candidate,0.0,0.0133,0.0133
cat,carpet,worst_candidate,0.0,0.0186,0.0186
cat,cart,rare,0.0,0.0,0.0
cat,cat,rare,0.0,0.0,0.0
cat,cell phone,rare,0.0,0.0025,0.0025
cat,chair,minority,0.0,0.0331,0.0331
cat,child,rare,0.0,0.0,0.0
cat,clock,rare,0.0,0.0033,0.0033
cat,clothes,rare,0.0,0.0,0.0
cat,coffee table,rare,0.0,0.0025,0.0025
cat,collar,minority,0.0,0.0259,0.0259
cat,comforter,rare,0.0,0.0046,0.0046
cat,computer,moderate,0.0601,0.0004,-0.0597
cat,computer mouse,rare,0.046,0.001,-0.045
cat,cone,rare,0.0,0.0,0.0
cat,container,rare,0.0,0.0073,0.0073
cat,couch,worst_candidate,0.0,0.0182,0.0182
cat,counter,rare,0.0409,0.0012,-0.0397
cat,cow,rare,0.0,0.0,0.0
cat,cup,rare,0.0,0.008,0.008
cat,curtain,worst_candidate,0.0,0.0133,0.0133
cat,deck,rare,0.0,0.0,0.0
cat,desk,worst_candidate,0.0,0.015,0.015
cat,dirt,rare,0.0,0.0,0.0
cat,dog,moderate,0.0601,0.0012,-0.0589
cat,door,minority,0.0,0.0262,0.0262
cat,drawer,rare,0.0,0.0061,0.0061
cat,dresser,rare,0.0,0.0,0.0
cat,dvd player,rare,0.0141,0.0004,-0.0136
cat,elephant,rare,0.0,0.0,0.0
cat,entertainment center,rare,0.009,0.0,-0.009
cat,faucet,moderate,0.0588,0.0,-0.0588
cat,fence,rare,0.0,0.0086,0.0086
