group_id,count,accuracy
0,20,0.65
1,22,0.6818
2,130,0.8154
3,19,0.7368
7,190,0.8158
8,69,0.4348
9,17,0.1765
10,19,0.2632
11,28,0.3929
12,166,0.7711
15,104,0.9135
17,71,0.831
19,88,0.8523
20,74,0.7568
21,113,0.8496
22,18,0.3333
25,58,0.8276
27,31,0.7097
31,89,0.4607
32,125,0.752
35,17,0.7059
36,222,0.7748
38,22,0.5455
40,17,0.9412
41,174,0.6839
42,31,0.871
44,7,1.0
46,49,0.8367
47,122,0.7213
48,8,0.625
50,54,0.8519
51,89,0.8876
53,101,0.9505
55,8,0.25
56,176,0.6818
57,41,0.9024
63,58,0.3276
66,402,0.7786
67,29,0.6207
69,26,0.5769
70,38,0.5789
72,99,0.2727
73,264,0.5682
75,36,0.6944
77,8,0.125
78,32,0.5625
80,14,1.0
81,14,0.3571
82,68,0.7647
83,129,0.9612
86,112,0.5357
87,26,0.6538
88,79,0.6835
89,6,1.0
90,10,0.2
94,6,0.6667
97,71,0.662
98,19,0.9474
99,103,0.7961
100,163,0.7055
101,16,0.6875
102,52,0.6346
104,46,0.6522
105,19,0.5263
106,20,0.9
107,61,0.8361
110,87,0.8046
113,7,1.0
114,69,0.6522
116,39,0.7436
117,132,0.8788
124,38,0.7368
129,45,0.8222
131,293,0.8055
133,12,0.5833
134,81,0.8642
138,8,1.0
140,45,0.8222
141,37,0.8378
146,22,0.5909
147,36,0.8333
149,672,0.7783
150,54,0.5556
151,312,0.7788
152,73,0.4521
153,36,0.9444
154,61,1.0
155,155,0.9742
156,42,0.9524
158,11,0.9091
160,137,0.8759
161,135,1.0
162,49,1.0
163,55,1.0
164,23,1.0
165,109,0.8899
167,11,1.0
168,47,0.766
170,35,0.7143
172,56,0.9464
173,44,0.75
174,77,0.8831
175,10,1.0
178,41,0.8293
180,21,1.0
183,11,1.0
184,206,0.9951
185,79,0.8354
188,23,0.7826
189,179,0.8492
190,5,1.0
191,18,0.6667
193,10,0.7
194,566,0.9541
195,21,0.9048
199,29,0.8966
200,96,0.8229
203,35,0.9429
204,49,0.8367
206,35,0.6571
207,11,1.0
209,182,0.8901
210,24,0.8333
216,223,1.0
219,284,0.8134
220,35,1.0
221,16,1.0
222,82,0.9756
223,86,1.0
225,48,1.0
226,550,0.9782
228,20,1.0
229,7,1.0
231,83,0.9518
232,16,1.0
233,23,0.6087
234,56,0.9821
235,57,0.8421
236,37,0.5676
239,59,0.9831
240,15,0.8667
241,99,0.9293
242,8,0.75
249,12,1.0
250,29,1.0
251,35,0.8857
252,88,0.8523
253,140,0.8214
254,19,0.6842
255,47,0.9362
256,16,1.0
257,24,0.9583
258,36,0.9722
259,17,0.6471
260,35,0.8286
262,6,1.0
263,46,0.8043
264,8,1.0
265,6,1.0
266,25,0.76
267,85,0.9412
269,30,0.8
270,67,0.791
271,51,1.0
274,8,1.0
276,5,1.0
277,25,0.8
282,17,1.0
284,189,0.8201
285,6,1.0
286,13,1.0
287,46,0.6739
291,10,0.5
293,33,0.9091
294,29,0.9655
297,19,1.0
298,6,1.0
299,50,0.98
300,16,0.75
302,446,0.8789
303,31,0.9677
304,326,0.9264
305,35,0.9714
