epoch,train_loss,train_acc,val_avg_acc,val_worst_acc,val_gap
1,0.286737,0.8249,0.9362,0.3,0.6362
2,0.202841,0.8204,0.9299,0.3,0.6299
3,0.197418,0.8355,0.9443,0.3,0.6443
4,0.180225,0.8452,0.9362,0.3,0.6362
5,0.199295,0.8631,0.9416,0.3,0.6416
6,0.192751,0.8539,0.9452,0.3,0.6452
7,0.1525,0.8569,0.947,0.3,0.647
8,0.17088,0.8608,0.947,0.2,0.747
9,0.155685,0.821,0.9515,0.3,0.6515
10,0.174571,0.8781,0.9497,0.2857,0.664
11,0.18008,0.8548,0.9443,0.1,0.8443
12,0.159114,0.8424,0.9461,0.1429,0.8032
13,0.156337,0.8458,0.947,0.1,0.847
14,0.155089,0.8509,0.947,0.1,0.847
15,0.149696,0.8539,0.9488,0.1,0.8488
16,0.173472,0.8561,0.9479,0.1,0.8479
17,0.158221,0.8319,0.9461,0.1,0.8461
18,0.152873,0.8458,0.9488,0.1,0.8488
19,0.15652,0.8544,0.947,0.1,0.847
20,0.142338,0.8225,0.9488,0.1,0.8488
21,0.13653,0.852,0.9542,0.1,0.8542
22,0.162486,0.858,0.9515,0.0,0.9515
23,0.142893,0.8527,0.9506,0.1,0.8506
24,0.153147,0.8439,0.9479,0.1429,0.805
25,0.151186,0.8614,0.9506,0.0,0.9506
26,0.138595,0.858,0.9497,0.0,0.9497
27,0.13031,0.8706,0.9524,0.0,0.9524
28,0.136959,0.8373,0.9479,0.1,0.8479
29,0.15677,0.839,0.9488,0.0,0.9488
30,0.134619,0.8351,0.9515,0.0,0.9515
31,0.169094,0.8479,0.9488,0.1,0.8488
32,0.136603,0.849,0.9533,0.0,0.9533
33,0.134151,0.8567,0.9506,0.0,0.9506
34,0.148833,0.8492,0.9515,0.0,0.9515
35,0.154953,0.8411,0.9515,0.0,0.9515
36,0.135871,0.8633,0.9524,0.0,0.9524
37,0.134061,0.864,0.9506,0.0,0.9506
38,0.122285,0.8467,0.9506,0.0,0.9506
39,0.132993,0.8834,0.9488,0.0,0.9488
40,0.131996,0.8631,0.9524,0.0,0.9524
41,0.139134,0.8477,0.9506,0.0,0.9506
42,0.147394,0.8296,0.9533,0.0,0.9533
43,0.13031,0.8606,0.9533,0.0,0.9533
44,0.10665,0.8383,0.9533,0.0,0.9533
45,0.149089,0.8469,0.9506,0.0,0.9506
46,0.123993,0.8383,0.9524,0.0,0.9524
47,0.135863,0.88,0.9551,0.0,0.9551
48,0.140145,0.8548,0.9497,0.0,0.9497
49,0.117877,0.8708,0.9515,0.0,0.9515
50,0.138445,0.8349,0.9551,0.0,0.9551
