class_name,background,train_count,test_count,train_prop,test_prop,prop_diff
bulldog,beach,5068,636,0.3333,0.3333,0.0
bulldog,desert,5068,636,0.3333,0.3333,0.0
bulldog,dirt,5068,636,0.3333,0.3333,0.0
bulldog,jungle,0,0,0.0,0.0,0.0
bulldog,snow,0,0,0.0,0.0,0.0
corgi,beach,5068,636,0.3333,0.3333,0.0
corgi,desert,0,0,0.0,0.0,0.0
corgi,dirt,0,0,0.0,0.0,0.0
corgi,jungle,5068,636,0.3333,0.3333,0.0
corgi,snow,5068,636,0.3333,0.3333,0.0
dachshund,beach,5068,636,0.3333,0.3333,0.0
dachshund,desert,0,0,0.0,0.0,0.0
dachshund,dirt,0,0,0.0,0.0,0.0
dachshund,jungle,5068,636,0.3333,0.3333,0.0
dachshund,snow,5068,636,0.3333,0.3333,0.0
labrador,beach,5068,636,0.3333,0.3333,0.0
labrador,desert,5068,636,0.3333,0.3333,0.0
labrador,dirt,5068,636,0.3333,0.3333,0.0
labrador,jungle,0,0,0.0,0.0,0.0
labrador,snow,0,0,0.0,0.0,0.0
